Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
1754,52.14,0.6,0.23,-1033.71,-0.17
1755,49.91,0.89,0.23,-1017.59,-0.01
1758,40.59,0.46,0.15,-337.75,0.93
1761,44.84,0.42,0.19,-1028.19,-0.08
1763,42.98,0.85,0.27,-288.87,1.17
1765,38.69,0.67,0.26,-92.97,2.94
1768,47.64,0.64,0.22,-1022.06,-0.25
1772,63.63,0.6,0.13,-1033.93,-0.22
1776,56.7,0.83,0.25,-1031.51,-0.14
1778,40.4,0.46,0.21,-1014.62,-0.06
1784,46.54,0.62,0.18,-1016.99,-0.11
1786,51.98,0.72,0.11,-1009.06,-0.04
1788,53.69,0.86,0.15,-1011.23,-0.08
1790,61.35,0.51,0.29,-1062.09,-0.52
1792,52.69,0.72,0.28,-1033.17,-0.2
1794,47.95,0.88,0.17,-380.49,0.74
1795,54.32,0.63,0.1,-1014.31,-0.06
1798,58.24,0.9,0.28,-1032.59,-0.16
1799,42.34,1.14,0.37,-39.39,4.28
1800,45.77,0.82,0.28,-1019.63,-0.09
1804,47.92,0.73,0.24,-1021.38,-0.1
1806,43.98,0.27,0.19,-1040.62,-0.3
1811,42.12,0.47,0.19,-1021.12,-0.14
1813,49.56,0.88,0.19,-1012.68,-0.07
1816,46.93,0.67,0.17,-1014.89,-0.1
1819,53.14,0.94,0.23,-1019.01,-0.19
1822,44.01,0.66,0.3,-1023.54,-0.18
1823,37.57,0.53,0.27,-297.97,1.12
1825,56.48,0.79,0.23,-1031.91,-0.08
1826,49.8,0.72,0.17,-1017.4,-0.17
1828,37.95,0.51,0.26,-1010.69,-0.02
1829,51.52,0.81,0.22,-1021.7,-0.07
1832,43.66,0.96,0.28,-24.95,4.99
1833,43.83,0.83,0.28,-1014.06,-0.13
1836,51.7,0.86,0.18,-1014.72,-0.01
1843,50.86,0.67,0.28,-1031.92,-0.18
1850,40.81,0.78,0.28,-516.55,0.27
1851,48.78,0.62,0.21,-1025.22,-0.27
1852,50.15,0.76,0.12,-318.47,1.02
1856,60.21,0.78,0.13,-1021.5,-0.07
1857,63.71,0.35,0.21,-1076.32,-0.14
1858,60.93,0.79,0.24,-1036.41,-0.28
1859,50.59,0.71,0.25,-1027.72,-0.25
1868,58.84,0.81,0.28,-1037.07,-0.31
1869,45.82,0.49,0.23,-1031.02,-0.0
1874,51.91,0.6,0.08,-1009.74,-0.09
1877,45.43,0.72,0.16,-1007.92,-0.02
1878,55.53,0.83,0.18,-1022.05,-0.12
1879,49.48,0.6,0.19,-1025.5,-0.04
1883,45.5,0.7,0.26,-1019.52,-0.11
1884,44.49,0.95,0.25,-1008.48,-0.03
1886,41.73,0.61,0.24,-1017.37,-0.17
1888,45.19,0.51,0.12,-1012.11,-0.12
1890,52.51,0.5,0.07,-1012.94,-0.11
1891,49.95,0.6,0.22,-1029.62,-0.11
1895,43.36,0.72,0.23,-1013.55,-0.11
1897,40.61,0.38,0.14,-1017.88,-0.15
1898,47.56,0.83,0.14,-182.89,1.88
1901,48.37,0.66,0.14,-1013.06,-0.06
1902,49.28,0.38,0.17,-1036.01,-0.31
1907,44.74,0.7,0.2,-1011.19,-0.1
1910,46.45,0.79,0.23,-1017.01,-0.13
1913,39.08,0.65,0.27,-1009.51,-0.02
1914,48.92,0.78,0.16,-1011.67,-0.09
1918,40.91,0.58,0.34,-1024.09,-0.13
1921,46.62,0.59,0.22,-1025.32,-0.15
1923,48.62,0.75,0.13,-1007.53,-0.02
1926,43.19,0.6,0.15,-377.35,0.76
1928,58.21,0.56,0.36,-1057.84,-0.18
1936,53.73,0.53,0.21,-1037.05,-0.1
1941,55.66,0.91,0.26,-1029.96,-0.31
1943,41.0,0.78,0.37,-1017.06,-0.08
1944,40.7,0.75,0.27,-348.79,0.88
1946,47.27,0.69,0.2,-1019.92,-0.1
1947,46.49,0.72,0.19,-1014.19,-0.08
1949,43.36,0.72,0.21,-1010.35,-0.02
1951,50.9,0.84,0.2,-1017.44,-0.11
1952,48.79,0.65,0.25,-1028.86,-0.25
1955,43.69,0.75,0.35,-1024.48,-0.16
1957,51.56,0.67,0.12,-1014.45,-0.07
1960,40.05,0.63,0.22,-82.92,3.12
1961,53.18,0.9,0.26,-1026.33,-0.03
1962,62.88,0.83,0.22,-1035.0,-0.1
1964,42.42,0.68,0.27,-1020.4,-0.13
1969,58.14,0.65,0.16,-1029.63,-0.08
1971,39.23,0.49,0.28,-1020.51,-0.11
1975,53.98,0.53,0.2,-1038.98,-0.2
1977,51.77,0.53,0.21,-1034.76,-0.17
1979,38.13,0.62,0.25,-55.2,3.75
1982,57.52,0.57,0.15,-1032.63,-0.3
1986,45.92,0.65,0.3,-1027.68,-0.02
1988,45.04,0.48,0.19,-1025.96,-0.01
1993,39.68,0.65,0.26,-1011.08,-0.06
1996,36.82,0.48,0.3,-1017.33,-0.11
1999,38.44,0.59,0.22,-64.68,3.5
2002,51.27,0.92,0.21,-1016.46,-0.11
2007,49.76,0.62,0.34,-1039.47,-0.03
2011,41.21,0.55,0.16,-1008.76,-0.02
2016,51.96,0.89,0.21,-1020.47,-0.18
2017,40.73,0.41,0.21,-1024.87,-0.17
2019,61.35,0.83,0.2,-1031.49,-0.04
2023,47.29,0.77,0.2,-1016.95,-0.08
2024,46.5,0.82,0.26,-1020.58,-0.04
2025,42.5,0.66,0.29,-1021.09,-0.24
2030,50.7,0.48,0.1,-1020.83,-0.09
2037,50.08,0.81,0.29,-1029.49,-0.23
