Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
368,18.853,18.853,22.999,-47.924,38.012
369,18.756,18.756,22.999,-59.191,34.875
370,26.666,26.666,13.134,-607.744,0.014
371,15.871,15.871,13.134,-105.874,55.612
372,3.212,3.212,13.134,-388.258,96.593
373,5.048,5.048,13.134,-428.292,93.815
374,1.962,1.962,13.134,-417.647,98.206
375,6.732,6.732,13.134,-346.812,89.144
376,29.608,29.608,18.655,-574.926,0.1
377,16.587,16.587,18.655,-109.364,50.888
378,14.568,14.568,18.655,-165.654,61.287
379,37.886,37.886,28.627,-1114.509,-0.128
380,17.782,17.782,28.627,-56.421,39.3
381,24.276,24.276,8.968,-1035.873,-0.115
382,29.003,29.003,17.779,-1071.117,-0.199
383,6.945,6.945,17.779,-363.167,90.113
384,13.265,13.265,17.779,-195.026,63.784
385,12.36,12.36,17.779,-173.826,67.019
386,33.546,33.546,23.812,-539.457,0.199
387,23.673,23.673,6.399,-83.794,3.101
388,24.619,24.619,10.968,-1043.873,-0.092
389,4.095,4.095,10.968,-375.006,95.851
390,5.847,5.847,10.968,-394.717,91.936
391,6.44,6.44,10.968,-378.661,91.015
392,41.665,41.665,32.955,-1131.82,-0.261
393,31.862,31.862,19.986,-579.903,0.087
394,8.701,8.701,19.986,-356.288,84.775
395,37.595,37.595,27.73,-1110.922,-0.314
396,17.692,17.692,27.73,-64.223,40.421
397,12.766,12.766,27.73,-207.165,69.685
398,24.596,24.596,9.747,-1038.989,-0.078
399,33.109,33.109,22.185,-563.013,0.133
400,22.847,22.847,-0.002,0,12.08
401,17.973,17.493,-0.002,-47.871,38.003
402,20.194,19.667,-0.002,-39.845,31.638
403,24.304,24.304,8.758,-1035.03,-0.048
404,33.0,32.303,22.143,-584.442,0.075
405,32.978,32.978,22.739,-1090.955,-0.083
406,29.072,29.072,17.543,-1070.171,-0.121
407,42.171,42.171,33.14,-599.327,0.035
408,25.152,25.152,10.748,-1042.99,-0.129
409,41.713,41.713,32.569,-605.617,0.019
410,22.9,22.9,0.002,0,14.288
411,40.362,40.362,31.482,-1125.929,-0.109
412,12.853,12.853,31.482,-208.96,69.824
413,16.106,16.106,31.482,-129.037,52.943
414,5.713,5.713,31.482,-392.971,96.855
415,11.154,11.154,31.482,-245.598,77.564
416,44.493,44.493,35.877,-1143.508,-0.082
417,28.052,28.052,16.296,-1065.186,-0.063
418,7.556,7.556,16.296,-382.572,91.241
419,39.781,39.781,30.289,-1121.157,-0.136
420,21.221,21.221,30.289,-27.436,24.419
421,11.377,11.377,30.289,-273.795,74.57
422,8.624,8.624,30.289,-288.439,85.542
423,12.607,12.607,30.289,-181.778,67.67
424,6.154,6.154,30.289,-386.054,91.441
425,18.496,18.496,30.289,-55.127,34.237
426,30.446,30.446,20.6,-1082.401,-0.188
427,6.199,6.199,20.6,-391.193,91.735
428,41.205,41.205,32.856,-582.202,0.081
429,33.331,33.331,22.533,-1090.131,-0.124
430,26.553,26.553,12.805,-594.731,0.047
431,40.367,40.367,31.799,-1127.197,-0.423
432,10.217,10.217,31.799,-266.37,78.998
433,17.582,17.113,31.799,-59.018,39.679
434,14.038,14.038,31.799,-201.018,64.275
435,4.931,4.931,31.799,-446.431,94.807
436,43.698,43.698,35.551,-1142.205,-0.143
437,43.665,42.892,34.93,-600.655,0.032
438,44.483,44.483,36.854,-1147.416,-0.078
439,35.009,35.009,24.813,-612.525,0.001
440,38.999,38.999,29.636,-572.78,0.106
441,35.24,35.24,24.742,-1098.97,-0.12
442,35.399,35.399,25.032,-605.89,0.018
443,39.508,38.761,30.78,-608.554,0.012
444,27.735,27.735,14.304,-1057.216,-0.028
445,7.038,7.038,14.304,-325.173,87.837
446,40.375,40.375,30.982,-577.715,0.093
447,17.51,17.042,30.982,-53.182,38.817
448,18.129,18.129,30.982,-64.064,45.536
449,43.489,43.489,34.112,-1136.449,-0.083
450,39.424,39.424,29.923,-1119.693,-3.455
451,33.357,33.357,22.648,-573.397,0.104
452,33.763,33.059,23.538,-604.231,0.023
453,33.254,33.254,23.07,-1092.282,-0.118
454,19.157,19.157,23.07,-33.906,35.697
455,5.451,5.451,23.07,-428.648,93.835
456,39.639,38.89,30.803,-1123.211,-0.204
457,31.887,31.887,20.449,-1081.795,-0.101
458,38.949,38.949,29.385,-577.873,0.092
459,4.073,4.073,29.385,-363.062,95.175
460,30.668,30.668,19.2,-1076.799,-0.182
461,5.003,5.003,19.2,-427.525,93.773
462,24.996,24.996,9.657,-1038.629,-0.062
463,3.66,3.66,9.657,-380.743,96.174
464,29.452,29.452,17.216,-605.676,0.019
465,43.442,43.442,35.465,-1141.861,-0.031
466,8.428,8.428,35.465,-357.091,89.755
467,34.274,34.274,23.775,-1095.099,-0.128
468,1.298,1.298,23.775,-423.855,98.541
469,19.672,19.672,23.775,-55.846,34.351
470,9.852,9.852,23.775,-285.104,80.256
471,29.845,29.845,17.217,-1068.866,-0.232
472,39.145,38.4,29.845,-1119.379,-0.076
473,23.036,23.036,3.558,-3.616,7.997
474,30.132,30.132,18.83,-1075.319,-0.012
475,21.339,21.339,18.83,-11.795,25.502
476,11.175,11.175,18.83,-258.272,73.478
477,17.579,17.579,18.83,-86.958,43.422
478,7.044,7.044,18.83,-358.445,89.835
479,2.883,2.883,18.83,-399.358,97.207
480,11.292,11.292,18.83,-236.411,76.916
481,34.951,34.951,23.776,-1095.105,-0.1
482,20.721,20.721,23.776,-25.606,23.99
483,2.705,2.705,23.776,-408.924,97.732
484,42.433,42.433,33.619,-1134.475,-0.22
485,22.963,22.963,3.637,-4.678,7.596
486,16.259,16.259,3.637,-139.052,53.941
487,9.203,8.935,3.637,-283.179,85.205
488,3.121,3.121,3.637,-394.038,96.914
489,40.663,40.663,31.207,-1124.83,-0.031
490,30.268,30.268,18.671,-1074.686,-0.082
491,39.8,39.8,29.933,-1119.732,-0.229
492,34.455,34.455,23.364,-534.115,0.215
493,6.461,6.461,23.364,-353.192,89.524
494,27.854,27.854,13.648,-1054.591,-0.1
495,23.027,22.448,4.573,-10.883,6.281
496,40.775,40.775,31.826,-534.136,0.215
497,29.694,29.694,19.369,-581.792,0.082
498,3.514,3.514,19.369,-388.046,96.581
499,9.745,9.745,19.369,-289.781,80.566
500,26.025,26.025,9.982,-1039.93,-0.057
501,15.383,15.383,9.982,-144.091,59.343
502,31.956,31.956,19.85,-1079.399,-0.012
503,8.021,8.021,19.85,-315.668,87.252
504,15.414,15.414,19.85,-112.184,51.191
505,3.774,3.774,19.85,-379.973,96.13
506,11.193,11.193,19.85,-227.249,76.26
507,12.672,12.335,19.85,-233.216,71.658
