Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
403,39.31,39.31,2.37,45.21,0.67,-52.82,33.76
404,39.52,39.52,2.37,6.66,0.4,-112.12,46.18
405,9.87,9.87,2.4,26.13,0.39,0,5.99
406,41.19,41.19,2.4,70.58,0.55,-29.83,19.96
407,12.5,12.5,2.39,50.43,0.49,0,5.96
408,36.79,36.79,2.38,95.0,0.7,0,5.28
409,26.49,26.49,2.38,73.3,0.49,0,5.92
410,41.25,41.25,2.38,74.35,0.48,-24.29,18.67
411,31.24,31.24,2.38,9.16,0.69,-179.58,62.49
412,22.5,22.5,2.39,97.97,0.3,0,5.87
413,33.77,33.77,2.39,9.36,0.58,-173.71,56.99
414,35.37,35.37,2.39,50.49,0.59,-96.18,39.55
415,22.08,21.52,2.39,44.83,0.22,-99.75,44.83
416,25.1,25.1,2.39,22.93,0.34,-132.83,53.29
417,9.2,9.2,2.4,44.55,0.34,0,5.99
418,34.18,33.47,2.4,48.7,0.44,-60.49,40.07
419,42.7,42.7,2.4,40.63,0.43,-40.63,26.78
420,24.93,24.93,2.36,54.58,0.4,0,5.91
421,14.34,14.34,2.4,98.01,0.62,0,5.97
422,15.58,15.58,2.4,67.4,0.61,0,5.94
423,39.84,39.84,2.4,26.98,0.39,-80.61,37.62
424,22.26,22.26,2.4,28.23,0.35,-102.43,50.25
425,44.7,44.7,2.4,19.73,0.46,-46.65,27.84
426,40.96,40.96,2.4,44.84,0.46,-51.52,28.65
427,17.87,17.87,2.39,71.46,0.73,0,6.01
428,29.63,29.63,2.39,41.24,0.52,0,5.92
429,14.9,14.5,2.37,15.6,0.34,0,5.95
430,31.5,31.5,2.38,58.78,0.55,0,5.89
431,34.98,34.98,2.38,15.45,0.57,-116.44,51.69
432,42.82,42.82,2.38,15.28,0.22,-58.5,34.6
433,39.39,39.39,2.39,93.62,0.74,0,5.35
434,33.94,33.94,2.39,35.09,0.45,-123.25,47.35
435,39.66,39.66,2.39,4.15,0.43,-48.91,33.17
436,17.94,17.94,2.4,15.63,0.41,0,5.98
437,21.87,21.87,2.37,89.75,0.54,0,5.31
438,9.89,9.89,2.39,67.69,1.0,0,5.97
439,39.13,39.13,2.39,60.63,0.16,-42.53,27.12
440,12.29,12.29,2.38,85.56,0.83,0,5.97
441,26.5,26.5,2.36,52.21,0.56,0,5.91
442,21.11,21.11,2.37,58.88,0.51,0,5.93
443,7.87,7.87,2.4,9.41,0.54,0,5.99
444,19.45,19.45,2.37,63.12,0.54,0,5.98
445,12.68,12.68,2.38,76.09,0.64,0,5.93
446,7.94,7.94,2.38,44.32,0.21,0,5.99
447,36.48,36.48,2.38,40.43,0.49,-62.74,40.36
448,31.15,31.15,2.38,7.78,0.27,-171.78,61.85
449,41.47,41.47,2.38,26.96,0.27,-47.49,32.94
450,36.2,36.2,2.38,15.64,0.32,-129.17,47.96
451,32.35,31.66,2.39,86.38,0.44,0,6.02
452,30.89,30.89,2.39,63.19,0.47,0,5.98
453,26.1,26.1,2.39,6.95,0.58,-228.5,71.35
454,16.13,16.13,2.4,41.43,0.56,0,6.02
455,32.39,32.39,2.38,56.78,0.47,0,5.99
456,13.02,13.02,2.39,43.46,0.4,0,5.97
457,34.12,34.12,2.39,58.14,0.77,0,6.01
458,15.49,15.49,2.4,31.89,0.52,0,5.92
459,12.36,12.36,2.39,79.58,0.64,0,6.0
460,24.61,24.61,2.38,66.05,0.7,0,6.02
461,16.7,16.7,2.38,60.32,0.71,0,5.97
462,26.49,26.49,2.39,57.65,0.52,0,5.88
463,7.81,7.81,2.39,82.19,0.45,0,5.99
464,41.16,41.16,2.37,99.99,0.69,0,5.95
465,15.59,15.59,2.37,30.14,0.46,0,5.91
466,37.04,37.04,2.37,37.29,0.65,-69.02,41.17
467,23.99,23.99,2.39,36.51,0.51,0,6.04
468,25.85,25.85,2.4,51.03,0.67,0,5.98
469,17.89,17.89,2.38,39.54,0.58,0,6.03
470,33.24,33.24,2.37,74.47,0.54,0,6.01
471,12.59,12.59,2.4,11.5,0.69,0,5.94
